Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2000,2.1859758,0.6957627118644067,0.07197558,-0.3044953350296862,-0.3044953350296862,1.0
4000,2.1256373,1.1019978969505784,0.16842008,0.10304942166140904,0.10304942166140904,1.0
6000,1.9872892,1.9850746268656716,0.41134155,0.9701492537313433,0.9701492537313433,1.0
8000,1.8247477,2.9801587301587302,0.6231909,1.9801587301587302,1.9801587301587302,1.0
10000,1.6794629,4.4,0.7658371,3.4162162162162164,3.4162162162162164,1.0
12000,1.5532943,4.976047904191617,1.0631183,3.961077844311377,3.961077844311377,1.0
14000,1.4065666,6.866666666666666,1.3221618,5.874509803921568,5.874509803921568,1.0
16000,1.369916,7.376569037656904,1.5143865,6.316666666666666,6.316666666666666,1.0
18000,1.2794011,10.05524861878453,1.8556587,9.01657458563536,9.01657458563536,1.0
20000,1.2040406,10.016483516483516,2.0648878,9.0,9.0,1.0
22000,1.1644412,11.139393939393939,2.4553254,10.151515151515152,10.151515151515152,1.0
24000,1.0821087,14.872,2.6897404,13.968,13.968,1.0
26000,1.0548248,13.133802816901408,3.1137576,12.112676056338028,12.112676056338028,1.0
28000,1.0089501,13.888059701492537,3.4527817,12.925373134328359,12.925373134328359,1.0
30000,1.0498801,13.985074626865671,3.9400253,12.873134328358208,12.873134328358208,1.0
32000,1.0407375,14.075757575757576,4.176723,13.166666666666666,13.166666666666666,1.0
34000,0.98205155,14.282442748091603,4.334372,13.259541984732824,13.259541984732824,1.0
36000,0.97451997,15.633333333333333,4.6742535,14.625,14.625,1.0
38000,0.94495577,15.193548387096774,4.969989,14.233870967741936,14.233870967741936,1.0
40000,0.93611836,15.056,5.2112503,14.0,14.0,1.0
42000,0.9527623,13.969924812030076,5.557563,12.962406015037594,12.962406015037594,1.0
44000,0.8902037,15.578512396694215,6.1357408,14.578512396694215,14.578512396694215,1.0
46000,0.9129082,15.201612903225806,5.942538,14.161290322580646,14.161290322580646,1.0
48000,0.8656927,16.05982905982906,6.231031,15.051282051282051,15.051282051282051,1.0
50000,0.8703869,16.663716814159294,6.138903,15.68141592920354,15.68141592920354,1.0
