Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,1.9540904,1.8163897493663756,-0.052082628,0.8166197183098591,0.8166197183098591,2.0709767,0.08212623,0.00029231363,1.0
20000,1.2617327,8.320297951582868,0.5502058,7.290232558139535,7.290232558139535,3.3991942,0.07025092,0.0002784534,1.0
30000,0.8334789,14.874603174603175,1.3907877,13.885714285714286,13.885714285714286,2.0148978,0.0656394,0.00026298573,1.0
40000,0.64756,16.867620751341683,2.181052,15.869409660107335,15.869409660107335,0.71136343,0.07216762,0.0002475519,1.0
50000,0.5726767,17.310786106032907,2.4580646,16.305301645338208,16.305301645338208,0.45374268,0.0688812,0.00023208155,1.0
60000,0.56043607,18.14750957854406,2.578387,17.153256704980844,17.153256704980844,0.3798417,0.06296255,0.00021661985,1.0
70000,0.5457934,17.96584440227704,2.5712636,16.956356736242885,16.956356736242885,0.35887662,0.07335957,0.00020271268,1.0
80000,0.5378918,18.330754352030947,2.5692844,17.332688588007738,17.332688588007738,0.31880343,0.0712371,0.00018880746,1.0
90000,0.5087468,18.46303501945525,2.572258,17.46692607003891,17.46692607003891,0.28065774,0.0693713,0.00017334096,1.0
100000,0.52887756,18.589041095890412,2.5638096,17.577299412915853,17.577299412915853,0.25225168,0.067927584,0.00015791225,1.0
110000,0.5158578,18.93013972055888,2.5740554,17.93812375249501,17.93812375249501,0.2287997,0.07193113,0.00014247397,1.0
120000,0.49197233,18.98003992015968,2.5910096,17.98003992015968,17.98003992015968,0.207877,0.06657425,0.00012701318,1.0
130000,0.48161376,19.477459016393443,2.5913253,18.473360655737704,18.473360655737704,0.18220228,0.06410474,0.000111570684,1.0
140000,0.4638343,19.447852760736197,2.6060283,18.470347648261757,18.470347648261757,0.16720273,0.06320621,9.769696e-05,1.0
150000,0.46581674,19.376782077393074,2.6082685,18.35234215885947,18.35234215885947,0.1608484,0.06951171,8.3816485e-05,1.0
160000,0.46858448,19.622680412371135,2.6090863,18.63917525773196,18.63917525773196,0.14618132,0.072777264,6.84031e-05,1.0
170000,0.47335762,20.002100840336134,2.6268592,18.99579831932773,18.99579831932773,0.15395764,0.067824796,5.2929983e-05,1.0
180000,0.4620196,20.1864406779661,2.6332004,19.175847457627118,19.175847457627118,0.1460096,0.06995122,3.7455095e-05,1.0
190000,0.45335218,19.480572597137016,2.6041417,18.478527607361965,18.478527607361965,0.14735678,0.06650412,2.2001504e-05,1.0
200000,0.45598713,19.822916666666668,2.6258311,18.839583333333334,18.839583333333334,0.14359525,0.07273297,6.5488084e-06,1.0
