Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
,,,,,,,,,
10000,1.9937043,1.609285342,0.01090754,0.608661623,0.608661623,3.532767,0.100110285,0.000487193,1
,,,,,,,,,
20000,1.3115714,7.805628848,0.5807493,6.785588752,6.785588752,11.458759,0.051598594,0.000467957,1
,,,,,,,,,
30000,0.7880183,15.03370787,1.5703981,14.05457464,14.05457464,11.536068,0.046574447,0.000448709,1
,,,,,,,,,
40000,0.5136688,17.11231884,3.2704577,16.09782609,16.09782609,4.674582,0.0508741,0.000429448,1
,,,,,,,,,
50000,0.40954936,17.26459854,4.572818,16.25912409,16.25912409,0.9238353,0.057447135,0.000410202,1
,,,,,,,,,
60000,0.4503605,17.45202952,4.869234,16.44833948,16.44833948,0.47691527,0.046715245,0.00039096,1
,,,,,,,,,
70000,0.48503885,18.44357977,4.9669476,17.44163424,17.44163424,0.4377381,0.04802059,0.000371699,1
,,,,,,,,,
80000,0.49793217,20.4496788,5.239552,19.42398287,19.42398287,0.42312804,0.05192609,0.000352439,1
,,,,,,,,,
90000,0.39481407,23.24514563,5.580694,22.24757282,22.24757282,0.61240983,0.044041798,0.000329967,1
,,,,,,,,,
100000,0.3308417,23.9975,5.748666,23.0025,23.0025,0.7030416,0.050272405,0.000307454,1
,,,,,,,,,
110000,0.31438816,22.72921615,5.9708743,21.7719715,21.7719715,0.7748745,0.058203217,0.000288171,1
,,,,,,,,,
120000,0.27444622,23.75247525,5.7590823,22.69059406,22.69059406,0.4317204,0.046522427,0.000268927,1
,,,,,,,,,
130000,0.2524538,23.44254279,5.755942,22.49388753,22.49388753,0.3565255,0.049307946,0.000249616,1
,,,,,,,,,
140000,0.2318556,23.90298507,5.725433,22.88059701,22.88059701,0.29342622,0.045519594,0.000230353,1
,,,,,,,,,
150000,0.22912177,24.9974026,5.961762,24.00519481,24.00519481,0.69147223,0.05830951,0.000211077,1
,,,,,,,,,
160000,0.2065869,26.16847826,5.946984,25.16847826,25.16847826,0.69843477,0.044015337,0.000191814,1
,,,,,,,,,
170000,0.20221138,26.05691057,5.8141565,25.07588076,25.07588076,0.51376873,0.047101367,0.000172523,1
,,,,,,,,,
180000,0.21944414,26.58953168,5.9770064,25.54269972,25.54269972,0.62661964,0.04721936,0.000150003,1
,,,,,,,,,
190000,0.2074985,26.46703297,6.042271,25.5,25.5,0.6212842,0.05292231,0.000127502,1
,,,,,,,,,
200000,0.20592439,27.46438746,6.206593,26.47293447,26.47293447,0.42727575,0.049930792,0.000108189,1
,,,,,,,,,
210000,0.20381008,28.74404762,6.204232,27.70535714,27.70535714,0.4005064,0.053981047,8.89E-05,1
,,,,,,,,,
220000,0.18986669,28.7388724,6.300393,27.74480712,27.74480712,0.4294831,0.047785565,6.96E-05,1
,,,,,,,,,
230000,0.18088545,28.67062315,6.4445286,27.66172107,27.66172107,0.57462937,0.047763553,5.04E-05,1
,,,,,,,,,
240000,0.1782378,29.68711656,6.395732,28.65337423,28.65337423,0.48917314,0.043565795,3.10E-05,1
,,,,,,,,,
250000,0.1862279,29.02102102,6.390074,28.04504505,28.04504505,0.47497678,0.053889487,1.17E-05,1
