Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,2.196951,0.7154373927958834,0.012792477,-0.2847829816435066,-0.2847829816435066,1.0
20000,1.997535,1.9501621940430551,-0.026324438,0.9484080188679245,0.9484080188679245,1.0
30000,1.7364017,3.8451862602805997,0.19743273,2.8369617803580067,2.8369617803580067,1.0
40000,1.438588,6.242380261248186,0.49790356,5.253991291727141,5.253991291727141,1.0
50000,1.2861985,8.412041392285984,0.8598615,7.399811853245532,7.399811853245532,1.0
60000,1.0869021,11.191463414634146,1.1911559,10.191463414634146,10.191463414634146,1.0
70000,0.9324981,13.303290414878397,1.6325563,12.303290414878397,12.303290414878397,1.0
80000,0.9899,12.669398907103826,2.3632388,11.67896174863388,11.67896174863388,1.0
90000,0.90335536,13.84272997032641,2.6246135,12.832344213649852,12.832344213649852,1.0
100000,0.8800539,14.06787330316742,2.9627297,13.064856711915535,13.064856711915535,1.0
110000,0.86619484,14.335375191424196,3.2619927,13.343032159264931,13.343032159264931,1.0
120000,0.8494808,14.814873417721518,3.492951,13.813291139240507,13.813291139240507,1.0
130000,0.8313339,14.757097791798108,3.6996894,13.750788643533124,13.750788643533124,1.0
140000,0.85792184,14.652582159624414,3.9440968,13.658841940532081,13.658841940532081,1.0
150000,0.84779054,15.106280193236715,4.131056,14.106280193236715,14.106280193236715,1.0
160000,0.82956797,15.79026845637584,4.273744,14.796979865771812,14.796979865771812,1.0
170000,0.8151486,15.811764705882354,4.527498,14.810084033613446,14.810084033613446,1.0
180000,0.7978067,16.32062391681109,4.66986,15.311958405545926,15.311958405545926,1.0
190000,0.78459203,16.93010752688172,4.832901,15.93010752688172,15.93010752688172,1.0
200000,0.7834182,17.01081081081081,4.9483514,16.014414414414414,16.014414414414414,1.0
210000,0.7866438,17.32234432234432,5.1196413,16.318681318681318,16.318681318681318,1.0
220000,0.76233673,17.689719626168223,5.3720207,16.68785046728972,16.68785046728972,1.0
230000,0.74369377,17.493530499075785,5.5779104,16.491682070240294,16.491682070240294,1.0
240000,0.75159246,17.892249527410208,5.643194,16.89413988657845,16.89413988657845,1.0
250000,0.7303014,18.137667304015295,5.904483,17.1395793499044,17.1395793499044,1.0
